,0
ARI,NFC West
ATL,NFC South
BAL,AFC North
BUF,AFC East
CAR,NFC South
CHI,NFC North
CIN,AFC North
CLE,AFC North
DAL,NFC East
DEN,AFC West
DET,NFC North
GB,NFC North
HOU,AFC South
IND,AFC South
JAX,AFC South
KC,AFC West
LAC,AFC West
LA,NFC West
LV,AFC West
MIA,AFC East
MIN,NFC North
NE,AFC East
NO,NFC South
NYG,NFC East
NYJ,AFC East
PHI,NFC East
PIT,AFC North
SEA,NFC West
SF,NFC West
TB,NFC South
TEN,AFC South
WAS,NFC East
