schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_score_home,pr_score_away,in_div,in_conf,schedule_playoff
10/17/2021,2021,6,BAL,,,LAC,,,False,True,False
10/17/2021,2021,6,WAS,,,KC,,,False,False,False
10/17/2021,2021,6,CLE,,,ARI,,,False,False,False
10/17/2021,2021,6,DEN,,,LVR,,,True,True,False
10/17/2021,2021,6,NE,,,DAL,,,False,False,False
10/17/2021,2021,6,PIT,,,SEA,,,False,False,False
10/18/2021,2021,6,TEN,,,BUF,,,False,True,False
10/21/2021,2021,7,CLE,,,DEN,,,False,True,False
10/24/2021,2021,7,GB,,,WAS,,,False,True,False
10/24/2021,2021,7,MIA,,,ATL,,,False,False,False
10/24/2021,2021,7,NE,,,NYJ,,,True,True,False
10/24/2021,2021,7,NYG,,,CAR,,,False,True,False
10/24/2021,2021,7,TEN,,,KC,,,False,True,False
10/24/2021,2021,7,BAL,,,CIN,,,True,True,False
10/24/2021,2021,7,LVR,,,PHI,,,False,False,False
10/24/2021,2021,7,LAR,,,DET,,,False,True,False
10/24/2021,2021,7,ARI,,,HOU,,,False,False,False
10/24/2021,2021,7,TB,,,CHI,,,False,True,False
10/24/2021,2021,7,SF,,,IND,,,False,False,False
10/25/2021,2021,7,SEA,,,NO,,,False,True,False
10/28/2021,2021,8,ARI,,,GB,,,False,True,False
10/31/2021,2021,8,ATL,,,CAR,,,True,True,False
10/31/2021,2021,8,BUF,,,MIA,,,True,True,False
10/31/2021,2021,8,CHI,,,SF,,,False,True,False
10/31/2021,2021,8,CLE,,,PIT,,,True,True,False
10/31/2021,2021,8,IND,,,TEN,,,True,True,False
10/31/2021,2021,8,DET,,,PHI,,,False,True,False
10/31/2021,2021,8,HOU,,,LAR,,,False,False,False
10/31/2021,2021,8,NYJ,,,CIN,,,False,True,False
10/31/2021,2021,8,LAC,,,NE,,,False,True,False
10/31/2021,2021,8,SEA,,,JAX,,,False,False,False
10/31/2021,2021,8,DEN,,,WAS,,,False,False,False
10/31/2021,2021,8,NO,,,TB,,,True,True,False
10/31/2021,2021,8,MIN,,,DAL,,,False,True,False
11/1/2021,2021,8,KC,,,NYG,,,False,False,False
11/4/2021,2021,9,IND,,,NYJ,,,False,True,False
11/7/2021,2021,9,CAR,,,NE,,,False,False,False
11/7/2021,2021,9,CIN,,,CLE,,,True,True,False
11/7/2021,2021,9,DAL,,,DEN,,,False,False,False
11/7/2021,2021,9,JAX,,,BUF,,,False,True,False
11/7/2021,2021,9,MIA,,,HOU,,,False,True,False
11/7/2021,2021,9,NO,,,ATL,,,True,True,False
11/7/2021,2021,9,NYG,,,LVR,,,False,False,False
11/7/2021,2021,9,BAL,,,MIN,,,False,False,False
11/7/2021,2021,9,PHI,,,LAC,,,False,False,False
11/7/2021,2021,9,KC,,,GB,,,False,False,False
11/7/2021,2021,9,SF,,,ARI,,,True,True,False
11/7/2021,2021,9,LAR,,,TEN,,,False,False,False
11/8/2021,2021,9,PIT,,,CHI,,,False,False,False
11/11/2021,2021,10,MIA,,,BAL,,,False,True,False
11/14/2021,2021,10,IND,,,JAX,,,True,True,False
11/14/2021,2021,10,DAL,,,ATL,,,False,True,False
11/14/2021,2021,10,NE,,,CLE,,,False,True,False
11/14/2021,2021,10,NYJ,,,BUF,,,True,True,False
11/14/2021,2021,10,TEN,,,NO,,,False,False,False
11/14/2021,2021,10,PIT,,,DET,,,False,False,False
11/14/2021,2021,10,WAS,,,TB,,,False,True,False
11/14/2021,2021,10,ARI,,,CAR,,,False,True,False
11/14/2021,2021,10,LAC,,,MIN,,,False,False,False
11/14/2021,2021,10,DEN,,,PHI,,,False,False,False
11/14/2021,2021,10,GB,,,SEA,,,False,True,False
11/14/2021,2021,10,LVR,,,KC,,,True,True,False
11/15/2021,2021,10,SF,,,LAR,,,True,True,False
11/18/2021,2021,11,ATL,,,NE,,,False,False,False
11/21/2021,2021,11,BUF,,,IND,,,False,True,False
11/21/2021,2021,11,CAR,,,WAS,,,False,True,False
11/21/2021,2021,11,CHI,,,BAL,,,False,False,False
11/21/2021,2021,11,CLE,,,DET,,,False,False,False
11/21/2021,2021,11,JAX,,,SF,,,False,False,False
11/21/2021,2021,11,MIN,,,GB,,,True,True,False
11/21/2021,2021,11,NYJ,,,MIA,,,True,True,False
11/21/2021,2021,11,TEN,,,HOU,,,True,True,False
11/21/2021,2021,11,PHI,,,NO,,,False,True,False
11/21/2021,2021,11,LVR,,,CIN,,,False,True,False
11/21/2021,2021,11,KC,,,DAL,,,False,False,False
11/21/2021,2021,11,SEA,,,ARI,,,True,True,False
11/21/2021,2021,11,LAC,,,PIT,,,False,True,False
11/22/2021,2021,11,TB,,,NYG,,,False,True,False
11/25/2021,2021,12,DET,,,CHI,,,True,True,False
11/25/2021,2021,12,DAL,,,LVR,,,False,False,False
11/25/2021,2021,12,NO,,,BUF,,,False,False,False
11/28/2021,2021,12,CIN,,,PIT,,,True,True,False
11/28/2021,2021,12,IND,,,TB,,,False,False,False
11/28/2021,2021,12,HOU,,,NYJ,,,False,True,False
11/28/2021,2021,12,JAX,,,ATL,,,False,False,False
11/28/2021,2021,12,MIA,,,CAR,,,False,False,False
11/28/2021,2021,12,NE,,,TEN,,,False,True,False
11/28/2021,2021,12,NYG,,,PHI,,,True,True,False
11/28/2021,2021,12,DEN,,,LAC,,,True,True,False
11/28/2021,2021,12,GB,,,LAR,,,False,True,False
11/28/2021,2021,12,SF,,,MIN,,,False,True,False
11/28/2021,2021,12,BAL,,,CLE,,,True,True,False
11/29/2021,2021,12,WAS,,,SEA,,,False,True,False
12/2/2021,2021,13,NO,,,DAL,,,False,True,False
12/5/2021,2021,13,ATL,,,TB,,,True,True,False
12/5/2021,2021,13,CHI,,,ARI,,,False,True,False
12/5/2021,2021,13,CIN,,,LAC,,,False,True,False
12/5/2021,2021,13,DET,,,MIN,,,True,True,False
12/5/2021,2021,13,HOU,,,IND,,,True,True,False
12/5/2021,2021,13,KC,,,DEN,,,True,True,False
12/5/2021,2021,13,MIA,,,NYG,,,False,False,False
12/5/2021,2021,13,NYJ,,,PHI,,,False,False,False
12/5/2021,2021,13,LVR,,,WAS,,,False,False,False
12/5/2021,2021,13,PIT,,,BAL,,,True,True,False
12/5/2021,2021,13,LAR,,,JAX,,,False,False,False
12/5/2021,2021,13,SEA,,,SF,,,True,True,False
12/6/2021,2021,13,BUF,,,NE,,,True,True,False
12/9/2021,2021,14,MIN,,,PIT,,,False,False,False
12/12/2021,2021,14,CAR,,,ATL,,,True,True,False
12/12/2021,2021,14,CIN,,,SF,,,False,False,False
12/12/2021,2021,14,CLE,,,BAL,,,True,True,False
12/12/2021,2021,14,HOU,,,SEA,,,False,False,False
12/12/2021,2021,14,KC,,,LVR,,,True,True,False
12/12/2021,2021,14,NYJ,,,NO,,,False,False,False
12/12/2021,2021,14,TEN,,,JAX,,,True,True,False
12/12/2021,2021,14,WAS,,,DAL,,,True,True,False
12/12/2021,2021,14,DEN,,,DET,,,False,False,False
