season,week,gameday,away_team,away_score,home_team,home_score,div_game,conf_game
2023,7,10/22/23,PIT,,LA,,0,FALSE
2023,7,10/22/23,ARI,,SEA,,1,TRUE
2023,7,10/22/23,GB,,DEN,,0,FALSE
2023,7,10/22/23,LAC,,KC,,1,TRUE
2023,7,10/22/23,MIA,,PHI,,0,FALSE
2023,7,10/23/23,SF,,MIN,,0,TRUE
2023,8,10/26/23,TB,,BUF,,0,FALSE
2023,8,10/29/23,HOU,100,CAR,0,0,FALSE
2023,8,10/29/23,LA,,DAL,,0,TRUE
2023,8,10/29/23,MIN,,GB,,1,TRUE
2023,8,10/29/23,NO,,IND,,0,FALSE
2023,8,10/29/23,NE,,MIA,,1,TRUE
2023,8,10/29/23,NYJ,,NYG,,0,FALSE
2023,8,10/29/23,JAX,,PIT,,0,TRUE
2023,8,10/29/23,ATL,,TEN,,0,FALSE
2023,8,10/29/23,PHI,,WAS,,1,TRUE
2023,8,10/29/23,CLE,,SEA,,0,FALSE
2023,8,10/29/23,BAL,,ARI,,0,FALSE
2023,8,10/29/23,KC,,DEN,,1,TRUE
2023,8,10/29/23,CIN,,SF,,0,FALSE
2023,8,10/29/23,CHI,,LAC,,0,FALSE
2023,8,10/30/23,LV,,DET,,0,FALSE
2023,9,11/2/23,TEN,,PIT,,0,TRUE
2023,9,11/5/23,MIA,,KC,,0,TRUE
2023,9,11/5/23,MIN,,ATL,,0,TRUE
2023,9,11/5/23,SEA,,BAL,,0,FALSE
2023,9,11/5/23,ARI,,CLE,,0,FALSE
2023,9,11/5/23,LA,,GB,,0,TRUE
2023,9,11/5/23,TB,,HOU,,0,FALSE
2023,9,11/5/23,WAS,,NE,,0,FALSE
2023,9,11/5/23,CHI,,NO,,0,TRUE
2023,9,11/5/23,IND,,CAR,,0,FALSE
2023,9,11/5/23,NYG,,LV,,0,FALSE
2023,9,11/5/23,DAL,,PHI,,1,TRUE
2023,9,11/5/23,BUF,,CIN,,0,TRUE
2023,9,11/6/23,LAC,,NYJ,,0,TRUE
2023,10,11/9/23,CAR,,CHI,,0,TRUE
2023,10,11/12/23,IND,,NE,,0,TRUE
2023,10,11/12/23,CLE,,BAL,,1,TRUE
2023,10,11/12/23,HOU,100,CIN,0,0,TRUE
2023,10,11/12/23,SF,,JAX,,0,FALSE
2023,10,11/12/23,NO,,MIN,,0,TRUE
2023,10,11/12/23,GB,,PIT,,0,FALSE
2023,10,11/12/23,TEN,,TB,,0,FALSE
2023,10,11/12/23,ATL,,ARI,,0,TRUE
2023,10,11/12/23,DET,,LAC,,0,FALSE
2023,10,11/12/23,NYG,,DAL,,1,TRUE
2023,10,11/12/23,WAS,,SEA,,0,TRUE
2023,10,11/12/23,NYJ,,LV,,0,TRUE
2023,10,11/13/23,DEN,,BUF,,0,TRUE
2023,11,11/16/23,CIN,,BAL,,1,TRUE
2023,11,11/19/23,DAL,,CAR,,0,TRUE
2023,11,11/19/23,PIT,,CLE,,1,TRUE
2023,11,11/19/23,CHI,,DET,,1,TRUE
2023,11,11/19/23,LAC,,GB,,0,FALSE
2023,11,11/19/23,ARI,0,HOU,100,0,FALSE
2023,11,11/19/23,TEN,,JAX,,1,TRUE
2023,11,11/19/23,LV,,MIA,,0,TRUE
2023,11,11/19/23,NYG,,WAS,,1,TRUE
2023,11,11/19/23,TB,,SF,,0,TRUE
2023,11,11/19/23,NYJ,,BUF,,1,TRUE
2023,11,11/19/23,SEA,,LA,,1,TRUE
2023,11,11/19/23,MIN,,DEN,,0,FALSE
2023,11,11/20/23,PHI,,KC,,0,FALSE
2023,12,11/23/23,GB,,DET,,1,TRUE
2023,12,11/23/23,WAS,,DAL,,1,TRUE
2023,12,11/23/23,SF,,SEA,,1,TRUE
2023,12,11/24/23,MIA,,NYJ,,1,TRUE
